Tweet,Sentiment
it kind of feels like a sunburight now right now sad  someone please make the nobby things on glasses not slip,Negative
Guess who's not getting a unicorn frappuccino because they're sold out unhappy ,Negative
Would really like it if the coandsole versioands and got the update to makr it like the Steam versioand. =(,Negative
Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number.. cont1,Negative
Sooooo feels like a Friday today unhappy ,Negative
Definitely my arms unhappy  ,Negative
I miss talking to yoyoyou  who are yoyou younhappy  yoyou can always still talk to me ,Negative
This picture makes me sad unhappy  ,Negative
why can't dogs just live forever unhappy ,Negative
I understand that look sad ,Negative
my boyfriend mad cute unhappy ,Negative
i miss minmin crying ,Negative
good morning i had a nightmare and i'm still wondering why maddie hates me. this is only the beginning of the day unhappy ,Negative
pake unhappy ,Negative
I miss London already unhappy ,Negative
jyoustinbieber can you please follow me on daianeryoufato i've been trying for too long unhappy  i love you so much baby! xx (April 20,Negative
 2017 at 08:45AM),Negative
Deep scratch ;_;All the paint is gone  you see the bare metal. So it needs to be fixed to avoid getting a rusting car soon unhappy ,Negative
when will you go here in batangas? sad  ,Negative
I miss you more unhappy ,Negative
I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,Negative
this wasnt meant to sound ano sad ,Negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,Negative
One year ago today unhappy  ,Negative
this song will always be one of my faves unhappy  ,Negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,Negative
fuck get me followers unhappy  my ratio is amazing,Negative
mom please stop making cookies,Negative
 they're like 90 calories per piece unhappy  ,Negative
I miss the 7/27 costumes unhappy ,Negative
why did she delete the tweet,Negative
 now I need a different pinned tweet unhappy  ,Negative
[thinks about how tfp soundwave is forever trapped in the void realm] unhappy ,Negative
You deserve better . Hope you'll be okay unhappy  ,Negative
mane has been amazing unhappy ,Negative
Dammit the effect of the linearts doesn't show so nicely on twitter unhappy ,Negative
but like HOW LONG IS A WHILE?! i didn't want him to be back but he puts me in such a good mood so i don't want him ,Negative
we can get pork katsudon at Tokyo Diner! Tho it doesn't have egg in it unhappy ,Negative
before anyone else we ass hole unhappy ,Negative
the anniversary of josh's death unhappy ,Negative
so sorry I havent been checking my tweets unhappy  We are all here for you!,Negative
Aww unhappy  I'm on Coeurl,Negative
Oh no unhappy ,Negative
I liked a video ,Negative
my puppies deserves all better unhappy  ,Negative
My husband has a family history with the mafia too but he doesn't know the stories sad ,Negative
WTF Canada 2017 and you are still in the 1700s. I Will Never support,Negative
 buy or do anything that supports Canada until,Negative
suuuuuuuuss scared crying ,Negative
One table last night told me I look like a graceful ballerina gliding through tables- then another told me I looked like a flash dancer unhappy ,Negative
seem I want to drop this account to wuhyungwon unhappy  ,Negative
Don't ask. Two special issues lined up. unhappy ,Negative
you got to rest,Negative
 man. : ( ,Negative
Does anyone have a 7 adapter or 7 earbuds i can borrow for the day? Left mine in my car unhappy ,Negative
I'm staying here in SA unhappy ,Negative
Preacher...... unhappy ,Negative
Umma why you do this crying ,Negative
I miss it already unhappy ,Negative
Well thanks for stoping by unhappy ,Negative
Why? You don't like blonde hair? unhappy ,Negative
3. That's a lot cheaper and easier than make your own. My schematic needs special cables that doesn't come easy. unhappy ,Negative
Pozuelo (formerly of Swans) and Suso (Liverpool now AC),Negative
 both look so so good at there current clubs. Shame they never cut it in the PL unhappy ,Negative
Gorbachev done  w/o fear. Thought bold enough to implement his vision on Damp Squib unhappy ,Negative
WUUT SERIOUSLY? ,Negative
Who got to pen today man crying ,Negative
As if this process hasn't been frustrating enough,Negative
 it's just got 3 years longer unhappy   ,Negative
Roc Boyz sad  ,Negative
Ravel Morrison unhappy  ,Negative
That is super scary unhappy ,Negative
Same. unhappy  I got a 12h stream coming up for my Bday in 8 hours. And I'm still not sleeping. ,Negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,Negative
Ps4 mate,Negative
 got to aksis 2nd part and have a CP for him but have never completed it since return on investment dropped laughing out loud unhappy ,Negative
we left it all unspoken,Negative
 we buried it alive and now it's screaming in my head crying ,Negative
DONT LAUGH unhappy  MEANIE BASE ,Negative
Sorry I didn't make it to the book drive yesterday couldn't get outta work unhappy ,Negative
yoongi come back unhappy ,Negative
NOOOO in here is 6.45 ;_; I have classes at that time unhappy ,Negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,Negative
Call Duration: Before sex: 01:47:36 After sex: 00:00:19 crying ,Negative
this is jimin to yoongi unhappy  ,Negative
I'm all fucked up right now unhappy ,Negative
Definitely my arms unhappy  ,Negative
Last day of the camp tomorrow,Negative
 it's been so much fun and I absolutely love the kids!! Don't want it to be over so soon unhappy ,Negative
Koalas are dying of thirst  and it's all because of us unhappy  ,Negative
Think it would drive me mad once the synths and other robots turned up. unhappy ,Negative
now i don%27t want to go camp unhappy ,Negative
can I only pick one unhappy  ,Negative
But I'm lonely. unhappy ,Negative
Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number for.. cont1,Negative
Miss my friends unhappy ,Negative
The one on the left? I couldn't see it unhappy ,Negative
not applicablengarag not applicable this unhappy  ill find more wonu pictures soon alxmdkcsnx ,Negative
please answer request.  unhappy ,Negative
Koalas are dying of thirst  and it's all because of us unhappy  ,Negative
most painful thing ever is having feelings for someone you can't be with .. unhappy ,Negative
No one is offering this poor old lady a seat unhappy ,Negative
lexxxxxy unhappy  youre too nice to me instant message really not eek  ,Negative
Why am I better at pen then pencil?dafaqcomonI just want to be a good drawer unhappy ,Negative
mayes unhappy  .g,Negative
Thanks for that! Little things like that really help when sleep starts hitting and you don't drink coffee or energy drinks unhappy ,Negative
i miss them already unhappy  ,Negative
Definitely my arms unhappy  ,Negative
oh my god what the heck i'm so sorry! this was one of my favorites as well unhappy ,Negative
Scout photobombed my bluebells photo sad  ,Negative
Crap. Hailie won't be there. She has a school game and won't make it to Middleburg in time unhappy ,Negative
Still NO sign - it's a very small area ( Gardens ) and it would be very obvious sad  quite a few eyes now ,Negative
 but no sign.,Negative
My knee is similar colour to leny Henry's unhappy ,Negative
Okey unhappy ,Negative
In so much pain. My eye hurts unhappy  ,Negative
Don't be buffalo unhappy ,Negative
It's hard to imagine anyone but Robin unhappy  but still exciting nonetheless,Negative
at least it's not 80 cad like here unhappy  (90 cad with Quebec taxes),Negative
Ye... I will miss you unhappy ,Negative
22 is old unhappy ,Negative
Rl? Serius? ,Negative
I feel so awful today unhappy  I don't want to go to my internship,Negative
So I may be one of those workers who are not properly compensated unhappy ,Negative
i love when people or message me w long messages about how beautiful they find joon like unhappy  yes i agree keep going,Negative
today hasn't been great unhappy  ,Negative
Used up a month's worth at Laugharne Weekend sad  (no wi-fi in small Carmarthenshire towns,Negative
 let alone for free!),Negative
Today is 4-20 which is Hitler's birthday unhappy  ,Negative
jungkook looks like he gives the biggest and warmest hugs unhappy  ,Negative
Youngjae looked so sad in the video unhappy ,Negative
babies unhappy  ,Negative
I'll check that out... I was excited about the backup singers but they were way too backup unhappy ,Negative
First round exit in 15 minutes followed by 45 of tech crying unhappy  ,Negative
my puppies deserves all better unhappy  ,Negative
resolve is sooo slow on my laptop,Negative
 i don't think i'll be ever to edit long videos here unhappy  i'll go try another editing software ,Negative
I hate throwing up  unhappy ,Negative
As Nani in lies unconscious,Negative
 never mind Khushi,Negative
 I know I'm not ready to say goodbye unhappy  So,Negative
 w,Negative
:^) hello ,Negative
He's not beating the two favourites here anyway so I'll stop caring about this match,Negative
 sob. unhappy ,Negative
I feel like the 'only environments disable people' argument actually excludes many disabled people ,Negative
this is jimin to yoongi unhappy  ,Negative
Baaaper unhappy  ,Negative
Roc Boyz sad  ,Negative
Roc Boyz sad  ,Negative
So,Negative
 last night I had a dream in which I moved to Japan and just so happened to see you! You denied my friendlies request. unhappy ,Negative
SO PRECIOUS I REALLY MISS HIM unhappy   ,Negative
Oh no unhappy  what are you like?!  Is it still in shops?,Negative
aando uandhappy  i googled it the other day to read the meandu agaiand and it said it was a hoax,Negative
Thank you unhappy  i need a certificate signed from God,Negative
Hi Mahima! We share your concern unhappy  Please DM us your contact details so that we can get in touch for a detailed.. cont1,Negative
talking about tattoos just makes me want my bb8 tattoo more and more but i'm so broke it makes me unhappy ,Negative
Never want to finish desperate housewives what will I do with my life unhappy ,Negative
Not surprised that I have the least amount of followers out of the whole cast sad  LOL,Negative
Dear attendees,Negative
 I'm very jealous of you all unhappy  Please go see 18:40 - Green Room on Sat! ,Negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,Negative
Ok will do! I never had any problems with the old ticket app,Negative
 the new one just seems a bit unstable unhappy ,Negative
We'd love to,Negative
 but customs mean we can't send food abroad unhappy  We do hope your other Birthday dreams come true,Negative
,Negative
freebet any sport except total mkets on handball,Negative
 basketball etc theyre all restrict.Threw ,Negative
ikr!! unhappy  oki welcome sam ,Negative
Speech-to-text doesnt understand my accent or Irish names unhappy ,Negative
this is jimin to yoongi unhappy  ,Negative
there are some rumors going around and videos of his performances on youtube have already been deleted.. ,Negative
I've Just Wrote 30 Tweets About But Still Didn't Notice Me crying ,Negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,Negative
but why? unhappy ,Negative
Definitely my arms unhappy  ,Negative
you don't post much lately?  school unhappy  ,Negative
U GUYS ARE NOT NOTICING ME unhappy ,Negative
Koalas are dying of thirst  and it's all because of us unhappy  ,Negative
Sorry for being tired on stream. Will get some sleep and try be more fun tomorrow. Just wasn't feeling it tonight guys. Not,Negative
just now I saw. But you did not reply unhappy ,Negative
how to be you piss off crying  3,Negative
My boo))): ,Negative
how about me bes jup unhappy ,Negative
Andy unhappy  ,Negative
Lage unhappy ,Negative
I have to wake up at 4:30 tomorrow so my body's gotten a head start by waking up at 4:30 every day this week unhappy ,Negative
wish i had someone to  cuddle me right now unhappy ,Negative
Hi Julie,Negative
 I'm so sorry to see your tweet unhappy  Please could you DM your address details? I will look i ,Negative
I'm trying to stay positive but I can't help be jealous of princess Mia's life. All she does is cuddle and eat unhappy ,Negative
Russell my phone is just 10% is there a possibility or a chance that you would notice me? unhappy  ,Negative
Am away next Thursday unhappy  the one after!,Negative
Peacefully sitting here reading my book after work,Negative
 watchman comes and threatens me,Negative
 assumes Im outsider because of my ,Negative
oh shiiiiid noooooor unhappy  ,Negative
Oh well never liked Clay anyway unhappy ,Negative
unhappy  :/ unhappy   feeling sick,Negative
Okay lang friend promise meant to be broken =( HAHAHAHA,Negative
do you even care at all unhappy ,Negative
One year ago today unhappy  ,Negative
I MISSED YOU A WHOLE LOT unhappy  ,Negative
I know how you feel,Negative
 my views have gone done by about 100 monthly unhappy ,Negative
mane has been amazing unhappy ,Negative
senior snaps are starting to get so senti aw unhappy ,Negative
instant message still hoping unhappy  ,Negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,Negative
unhappy  sure,Negative
One of my faves too unhappy  I'm tying to get it up on Vimeo so you guys can still watch it x,Negative
dang guess my plans are ruined unhappy  ,Negative
Koalas are dying of thirst  and it's all because of us unhappy  ,Negative
unhappy  But if there'll be 1 Silver-that'd be him!,Negative
red velvet too unhappy  ,Negative
my puppies deserves all better unhappy  ,Negative
Che no critiques. unhappy ,Negative
Feeling so shit today unhappy ,Negative
beauty ,Negative
I face swapped a cat with a dog and it's really upsetting unhappy  ,Negative
Miss the rain unhappy ,Negative
this is jimin to yoongi unhappy  ,Negative
I'm just really soft spoken unhappy ,Negative
PLAYMFS: need moodbooster juseyo unhappy  jily_jelly,Negative
Koalas are dying of thirst  and it's all because of us unhappy  ,Negative
pake 3 unhappy ,Negative
SO PRECIOUS I REALLY MISS HIM unhappy   ,Negative
Bells gone to daddies for to  days. Work  work work for me unhappy ,Negative
damn that's unfortunate for them unhappy ,Negative
Well that's my weekend viewing plans changed! unhappy ,Negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,Negative
I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,Negative
When i got doubts about my summer happiness. Why zcc? unhappy ,Negative
Mmmmm I guess your not getting much acting work these days? You have too much time on your hands unhappy ,Negative
I wish I could say the gangs all here but Daniel's not in this picture. unhappy   Rantoul Twp High ,Negative
Oh no Andy unhappy ,Negative
This is what we have in front of us.,Negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,Negative
I'm sooooo sleepy unhappy ,Negative
Must Feel Like Shit When Men Can Stare Down The Barrel Of A Bong As They Spend Their Kid's Milk Money unhappy ,Negative
Alright. Looks like back to chores behind the scenes. My page hits drop to 1K daily when I don't visit and post. unhappy ,Negative
Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number for us to.. cont1,Negative
Long time no chat sad ,Negative
Its not organicthey'll shoehorn it inbut plot  character developmentMCU netflix has lesWhat support ,Negative
miss you unhappy ,Negative
Koalas are dying of thirst  and it's all because of us unhappy  ,Negative
When will 2NE1 reunite unhappy ,Negative
Bring back the ginger curls =(,Negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,Negative
  3 3 3 please unhappy  ,Negative
and he gave me his pass so like i think a while is never unhappy ,Negative
I work so much better there unhappy ,Negative
 Hi Tharakaram! That's not the experience we want you to have unhappy  Please DM us your numbers so that we can get this.. cont1,Negative
This is so damn touching. unhappy  ,Negative
my puppies deserves all better unhappy  ,Negative
I want to be cuddled up having someone do that little back trace thing to put me to sleep unhappy ,Negative
You mean your voice changed? unhappy ,Negative
those nights you're sad in real life and cant sleep unhappy ,Negative
ohh normally I feel sick when I drink like 3-4 cups of coffee ,Negative
 maybe coffee is not for you unhappy ,Negative
I miss you crying ,Negative
honestly college makes me want to curl up into a ball and cry for 3 days straight unhappy ,Negative
Huhu so lucky unhappy ,Negative
Weare are u? unhappy  ,Negative
Im just having one of those days where instant message like,Negative
 Damn... this just Sucks! unhappy ,Negative
I've tried resetting everything,Negative
 still strict,Negative
 if I can't fix it soon I'll have to delay them until tomorrow unhappy ,Negative
You know what really upsets me? When a stranger on the internet isn't satisfied with the entertainment I provide him for,Negative
Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number.. cont1,Negative
i want to meet you both so bad unhappy ,Negative
me want please unhappy ,Negative
In memoriam of Alea Starbridge unhappy  Your beautiful voice will never be forgotten. ,Negative
hawhaw crying  ,Negative
What dat? unhappy ,Negative
please read unhappy  ,Negative
I miss him so much unhappy ,Negative
Sorry. One bad egg has to embarrass the rest. unhappy ,Negative
I don't want to adult today.. it's my birthday unhappy ,Negative
I miss Temperance Brennan and Seeley Booth so much unhappy ,Negative
June 5 - June 16 unhappy  ,Negative
[thinks about how tfp soundwave is forever trapped in the void realm] unhappy ,Negative
get well really soon Jack unhappy ,Negative
32- for the love of a daughter crying  ,Negative
iiiiI WOULD LIKE A BOOOK !  fuck off unhappy  ,Negative
I'm so tired of pretending I'm not falling for you unhappy ,Negative
on the way,Negative
 although i'll be a little late sad  ,Negative
More than just a picture unhappy  ,Negative
WUT I TOTALLY MISSED YOUR BDAY unhappy  Happy belated Birthday sweetheart,Negative
I hope it was great ,Negative
I love you waaaaay more baby unhappy  you're the sweetest and most adorable little angel,Negative
 I'm so glad I have you ,Negative
Koalas are dying of thirst  and it's all because of us unhappy  ,Negative
It's been a year haha unhappy ,Negative
guys this is really serious and i hope you don%27t judge me unhappy ,Negative
shouldn't keep Kenyans complaining on ,Negative
.I can't believe this hasn't been fixed yet,Negative
 and I can't believe customer service just goes ,Negative
aw younhappy  i miss you too ,Negative
Aww I was trying to cheer you up unhappy ,Negative
FAMOUS sa facebook ,Negative
 but in reality ALONE and LONELY  unhappy ,Negative
Sorry for no stream yesterday,Negative
 I have a cold unhappy  we'll see how I feel today!,Negative
Wtf?! Where's the What is this boring show that's on?! When did this happen?? This is what happens when I close all week. unhappy ,Negative
Back at it again with the matemticas unhappy ,Negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,Negative
IM HUNGRY unhappy ,Negative
I can't draw naked women crying ,Negative
Hi Ashish! We've an update regarding your concern but your number was switched off unhappy  Please share another suitable time.. cont1,Negative
U blackmailed me unhappy ,Negative
why am i not in aus with alisha unhappy  imagine the things we could be doing,Negative
When Jongin asked each members whether they have eaten and felt so wronged because they ate without him unhappy  ,Negative
instant message cramping sad ,Negative
I hate losing online friends unhappy  it's cruel when people deactivate unhappy  ,Negative
Guys please help me retweet unhappy  ,Negative
Pretty much only the Twitters and it doesn't really work out for me sad ,Negative
the only appropriate ones i have unhappy  ,Negative
:'(( well,Negative
 at least in my case it has not yet completely broken tho,Negative
 but how about yours? unhappy ,Negative
Nope unhappy ,Negative
I miss Temperance Brennan and Seeley Booth so much unhappy ,Negative
don%27t be surprised if you see me cry today,Negative
 instant message in a lot of pain and the school doesnt allow my to have my pain meds unhappy ,Negative
oh jeez.  i didn't even try taking a crack at it because i expected the build to be so bad,Negative
 ha  unhappy ,Negative
R.I.P Victoria Wood  heaven knows we're miserable now unhappy ,Negative
That was a FUN night! Sorry I missed last night unhappy  We really need to sync our calendars with and ,Negative
when will you notice me? unhappy  ,Negative
same unhappy  ,Negative
 whats crazy is when i walked through them doors EVERY ADMINISTRATION + HER WAS THERE THAT NIGHT. so why are her a,Negative
and yet if parents invest in child's emotional education by taking child out of school on holiday early that's un ,Negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,Negative
i want more orientation unhappy ,Negative
unhappy  they not ,Negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,Negative
wish knock out lang talaga for the new school year are good and cooperative groupmates please unhappy ,Negative
i miss so much unhappy ,Negative
Same unhappy ,Negative
Hi instant message your friend  friend lang,Negative
 hindi close friend? unhappy,Negative
An inspiration in all aspects: Fashion,Positive
 fitness,Positive
 beauty and personality. :)KISSES TheFashionIcon,Positive
Apka Apna Awam Ka Channel Frankline Tv Aam Admi Production Please Visit Or Likes  Share :)Fb Page :...,Positive
Beautiful album from  the greatest unsung guitar genius of our time - and I've met the great backstage,Positive
Good luck to Rich riding for great project in this Sunday. Can you donate?,Positive
Omg he... kissed... him crying with joy,Positive
happy anniv ming and papi!!!!! love love happy,Positive
thanks happy,Positive
C'mon Tweeps,Positive
 Join  vote for the singer! Do spread the word. :D,Positive
Thanks for the great review! smile,Positive
Yay another art raffle! Everything you need to know is in the picture :D,Positive
Hello I hope you visit Luxor its amazing city in Egypt pleas check,Positive
We got a Vive tracker in the office and our intern,Positive
 went to work.Don't get too excited,Positive
 this isn't,Positive
Take a look at favourites.io You can do this and more happy,Positive
Go back to school for music! I think I will in time happy,Positive
Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon,Positive
thanks for being top influencers in my community last week happy,Positive
Share the love: thanks for being top new followers this week happy  Want this?,Positive
retweet this tweet if you want your to be included in the nhc scrapbook!! i'll be making something out of all of the usern,Positive
Happy 420 happy  pass it to your followers!,Positive
Who wants some good vibes? Watch this on YouTube or TV100 application now for FREE happy,Positive
Great to work with you too such a lovely place! Thank you for havin,Positive
Nothing is ever as it seems. What looks bad today,Positive
 will be a blessing tomorrow happy  Keep your faith stirred up each day!,Positive
Mmmmmmmm love naughty wives smile,Positive
You deserve a vacation happy,Positive
Never known how hard it is until last to  days how to resist temptation to enter politics debates on social media happy  stood firm so far,Positive
Some summer salad inspiration for the BBQ smile,Positive
Hey thanks for being top new followers this week! Much appreciated happy  Want this ?,Positive
you should post this offer on this website happy,Positive
thanks for being top new followers - have a great week happy,Positive
I prefer it to sharm - enjoy it happy  Gouna 20km away is also quite nice - honestly anywhere away from crazy cairo is,Positive
Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon,Positive
Hey thanks for being top new followers this week! Much appreciated happy,Positive
thanks for the recent follow. Much appreciated happy,Positive
Thanks Lala.. Much needed happy,Positive
Thanks for connecting We are passionate about  - hope you like our tweets happy,Positive
hey,Positive
 keep smiling happy,Positive
Said it yesterday... happy,Positive
We love that our bloggers love us so much happy  Thank you for such an amazing review The Perfect Glasses h,Positive
only way to make sense of those crazy edge cases is the idea of sharing revenue was offensive,Positive
 rather,Positive
Gentle reminder on our TP guidelines happy  please read and spread. Thank you. happy KISSES TheFashionIcon,Positive
keep being you,Positive
 cheeky :D,Positive
smile  So true. For someone who was being recognised for her contribution to fashion,Positive
 she might have dressed a bit better.,Positive
sounds like a lot of fun :D I like it,Positive
Oh,Positive
 Jin was spotted at Everland today. Nice to see them having a break after the US tour happy,Positive
There was nothing religious in it. is calling out sexism. I don't think I need to spell out my stand,Positive
Go back to school for music! I think I will in time happy,Positive
Theres only one thing I want to change about you . Your Last Name happy  ALDUBOnly,Positive
welcome brother  happy,Positive
Thanks for the recent follow Happy to connect happy  have a great Thursday.,Positive
SONE who cant stream at Genie!You CAN stream for TY at Genie! We are still sharing some Genie IDs. If you want it,Positive
 DM us happy  S,Positive
Spending time with dogs or other animals is great at helping you to relax and de-stress. Great idea happy,Positive
My new video for happy  I hope you like ithappy,Positive
Got This interview poppin happy  $$$$$,Positive
Love your tweetability! We'd like to reach out to with an opportunity! Could you hit us with your email happy,Positive
Thanks for the recent follow Happy to connect happy  have a great Thursday.,Positive
uss,Positive
 I'll DM you half naked pictures happy,Positive
Evet happy,Positive
Well,Positive
 I hope it doesn't last too long and you at least get to enjoy the weekend. And happy birthday again happy,Positive
Excited about event next week in Bangalore!  come happy,Positive
Want to win a pet chick happy  Simply follow  retweet for your chance to win! Winners will be selected Sunday 23rd. Go,Positive
Top retweeters this week,Positive
 Thank you happy,Positive
dope!! that's a cool word. finally down with the hip young millenial memers smile,Positive
2nd Cousin Vlad !!!!! maybe thats a message from the Hockey G,Positive
Thanks for the recent follow Happy to connect happy  have a great Thursday. (Want this?,Positive
Earlier happy,Positive
Just win at weekend and it will be a late gift,Positive
 ok? :D,Positive
we finally got jinyoung to wipe it for jaebum himself but their precious son blocks it for the world to witness it,Positive
Here is question 18! Make sure to use in all your tweets  replies happy,Positive
And this credit also goes to Ik happy,Positive
My other accounts:them both or get rekt! :D,Positive
Hey thanks for being top new followers this week! Much appreciated happy,Positive
Les videre happy,Positive
clauditte,Positive
my friend is such an egg,Positive
congratulations David! Well done Mrs V! Welcome Jessica! happy,Positive
have you tried these new hacks?! **TRYING DUMB LIFE HACKS 17**,Positive
Keep tweeting team. Higher! Thank you for the efforts. :)KISSES TheFashionIcon,Positive
here are some very happy boys to brighten up your day happy,Positive
A huge thank you to all the within the Social Work  Care Sectors! Keep up the great work happy,Positive
Lunchtime with Flinthook! This game has so much personality :D,Positive
Ministers of PMLN are happy like those students who never studied for exams  luckily exams got delayed. They'll still ha,Positive
:D When mom is a bit tired,Positive
What we did after the climax shot happy,Positive
Miss Petite happy Thursday happy   looking forward to the weekend?,Positive
rt  quote with your name for a calligraphy of it happy  i'll try my best to make it pretty!! non mutuals/mutuals (ifb) fl,Positive
mutual: let's talk more!me: for sure!mutual:  happy  me:,Positive
I got TH will add sim ant as a possible thanks happy,Positive
If you want a friend in Washington,Positive
 get a dog. :D,Positive
Congrats Winner :D and it's Eyounji you did well my girl,Positive
Did you notice? There is no killings of RSS / BJP workers in another Southern State? CM is dismantling Xtian infra in Munnar?,Positive
Hi please rt my pinned post happy,Positive
The video will definitely be a 30 minute episode if not longer.,Positive
I would love to win these gorgeous nail polishes :D! Aren't they cute,Positive
Jae celebrating with Sheena Easton after the triumphant opening night of 42nd Street in the West End! happy,Positive
Happy belated birthday :)Another duet of you and Amaal is much needed,Positive
Your titties are fantastic. Kissy Kissy,Positive
Pls RT[NCT FIC] Love Song,Positive
Goodevening happy,Positive
Ministers of PMLN are happy like those students who never studied for exams  luckily exams got delayed. They'll still ha,Positive
Thanks for the retweets this week. Much appreciated happy   Want this,Positive
=Thumbnail UHC= This is my best render ever :Dand Favs are appreciated brosOpinios ?,Positive
Thanks again for notifying us! We have updated our add-on plans accordingly happy,Positive
Very cool! happy  surrounds you for a full recovery.,Positive
A nice morning working from today. Lovely atmosphere,Positive
 friendly service,Positive
 wifi,Positive
 comforting London fog.,Positive
I just did happy,Positive
Have a great day everyone happy,Positive
Kiera's Quest: Awakenings (Kiera's Quest  Book 1),Positive
Have you voted for The Wolf's Bite on Greenlight yet? happy  help us get Wolfie  Pigs on Steam!,Positive
Go back to school for music! I think I will in time happy,Positive
Here is a new thesis by another genius.Sir,Positive
 we loved to have reply by you. :D Now get lost .,Positive
your birthday isn't for another for hours for me,Positive
 but happy birthday hoe! have a good day,Positive
 i love you i guess happy,Positive
Its hard to see your best friend with another girl happy,Positive
The offer still going happy,Positive
If you can't be there for someone at their worst then you don't deserve to be there at their best :)KISSES TheFashionIcon,Positive
Demit the gocoh game is real crying with joy,Positive
Found use for the sewable LED holder happy,Positive
Select from 14 award-winning Laura Taylor romance ebooks,Positive
So excited for the things coming in the future happy  things are going great,Positive
you guys are entertaining and insightful... and one of the reasons i have been really enjoying LPL a lot more this season :D,Positive
Thats how it sounds like at superbooth happy,Positive
i want to learn the choreo but my ugly body says no crying with joy,Positive
Share the love you're top engaged community members this week! Much Appreciated happy,Positive
Hi Kylie,Positive
 looking forward to you visiting! You've picked a great day too,Positive
 the sun is shining happy,Positive
Ok. Just please read the replies on this....,Positive
THIS RIGHT HERE.aren't you happy you don't have [x]???NO. BECAUSE I'M STILL HERE IN THIS 'CONDITION' WITH NO I,Positive
To all FLA members and officers who are going to Cebu tomorrow silence  Godbless piss off mga ante and angkol!  happy,Positive
for every like ill post an answer smile,Positive
Maybe not a band but we can definitely collab! Hi my name is Philip  happy,Positive
LEGO_Group: LegoThursdays JokerSquad_SWG LEGOLANDWindsor Sounds like you had lots of fun! happy,Positive
a friend who would like a BRAND NEW Strapback hats only 14.99 at,Positive
yes you had smile,Positive
mata_tytan: almightyTANNER: good evening everyone happy  join our twitter party tonight. official tagline:TANN,Positive
First attempts of bird photography. :-)Passer domesticus. How surprising. wink,Positive
People who don%27t know me always think I am quiet. People who do know me. wish I was :)KISSES TheFashionIcon,Positive
Love you too P!,Positive
RT: good evening everyone happy  join our twitter party tonight. official tagline:TANNER WelcomeBackPH TMI,Positive
oh yes happy,Positive
Hey Robert Rolih thanks for the follow! What does coastal living mean to you? Reply with photo :D,Positive
Have you ever been to AUSTRALIA! :D Love your vids. Lovo on youtube :D,Positive
OPENING UP TO YOU LOT!RT LIKES WOULD BE LAAAAAVERLY :D .xxENJOY,Positive
In other words they never missed articles happy,Positive
IF THE BELOW TWEET HITS 1000 IS GETTING RIAN HOLDING THE STICKER TOO!!! Click the below tweet  SM,Positive
Bill Nye Answers Science Questions From Twitter | WIRED,Positive
How are you doing today? happy,Positive
We're ready for our next fire lighting session at - we have a few keen early birds here already smile,Positive
Go Kisses!!...  I know you can do it..,Positive
If this gets 70rts I will giveaway 5 minecraft accounts and an origin account randomly to people who retw,Positive
Hi Mr. Yen! Will you be doing any signings in New York some day? Your a great role model happy,Positive
it's just a cut during one of my kitchen experiments happy,Positive
Wow i just made a JS compressor that actually checks scoped variables existing. Turns out i have a few issues happy  Linters may be useful happy,Positive
This week Marilyn pops by and get's down and dirty  happy  Cum see!,Positive
loool i'm mad avoid me today :D,Positive
You're welcome Thomas happy  Kim,Positive
 Look at this happy,Positive
He didn't play for a year,Positive
 so I'm super impressed he's got his musical mojo back! Thank you so much happy,Positive
Watch this MayWard Fam!,Positive
I was thinking the same. Our i know is so cute happy,Positive
SONE who cant stream at Genie!You CAN stream for TY at Genie! We are still sharing some Genie IDs. If you want it,Positive
 DM us happy  S,Positive
Mythbuster/20 happy,Positive
Aha it's okay  she's going to be on Rough Night happy,Positive
Company photoshoot with our fabulous photographer happy  Look at this determination (concrete shoes) to get,Positive
Perfect,Positive
